,file,name,embeddings,complete_url
0,Martin_Boryczewski_0001.jpg,Martin_Boryczewski,[0.        1.6660573 0.        ... 0.        0.        0.       ],dataset/Martin_Boryczewski/Martin_Boryczewski_0001.jpg
1,Bobby_Jackson_0001.jpg,Bobby_Jackson,[0.         0.47519812 2.0513406  ... 2.3611932  0.         0.45921972],dataset/Bobby_Jackson/Bobby_Jackson_0001.jpg
2,Sven_Ottke_0001.jpg,Sven_Ottke,[0.         0.03890074 0.         ... 1.9257457  3.1642423  0.18595244],dataset/Sven_Ottke/Sven_Ottke_0001.jpg
3,Alan_Zemaitis_0001.jpg,Alan_Zemaitis,[0.         3.5332255  8.2842455  ... 1.7173201  0.04922487 0.19852895],dataset/Alan_Zemaitis/Alan_Zemaitis_0001.jpg
4,Ashraf_Alasmar_0001.jpg,Ashraf_Alasmar,[0.         0.         0.02146301 ... 0.         1.4230415  3.6817589 ],dataset/Ashraf_Alasmar/Ashraf_Alasmar_0001.jpg
5,Antanas_Valionis_0001.jpg,Antanas_Valionis,[0.         0.20208846 4.211705   ... 7.896536   0.         0.01751368],dataset/Antanas_Valionis/Antanas_Valionis_0001.jpg
6,Oracene_Williams_0001.jpg,Oracene_Williams,[0.        1.1908243 5.7648416 ... 1.6114371 0.6735047 1.1074795],dataset/Oracene_Williams/Oracene_Williams_0001.jpg
7,Rose_Marie_0001.jpg,Rose_Marie,[0.39657184 2.1228313  0.03503016 ... 0.         3.2188046  2.7158678 ],dataset/Rose_Marie/Rose_Marie_0001.jpg
8,Pete_Aldridge_0001.jpg,Pete_Aldridge,[0.         4.21043    0.07877688 ... 0.01274016 0.         0.6878764 ],dataset/Pete_Aldridge/Pete_Aldridge_0001.jpg
9,Mike_Richter_0001.jpg,Mike_Richter,"[0.0000000e+00 7.2200179e+00 0.0000000e+00 ... 7.0246468e+00 4.2896947e-01
 5.3226706e-03]",dataset/Mike_Richter/Mike_Richter_0001.jpg
10,Gerard_Tronche_0001.jpg,Gerard_Tronche,"[ 1.3555137   0.          1.3105483  ... 13.810345    0.
  0.19943805]",dataset/Gerard_Tronche/Gerard_Tronche_0001.jpg
11,Stefan_Holm_0001.jpg,Stefan_Holm,[3.0640187  0.32534114 0.21300524 ... 1.0293593  2.9507632  1.1199138 ],dataset/Stefan_Holm/Stefan_Holm_0001.jpg
